Datetime,Water Level (m)
2024-09-07 12:00:00,1.220322
2024-09-07 13:00:00,1.0400108
2024-09-07 14:00:00,0.79478854
2024-09-07 15:00:00,0.56352866
2024-09-07 16:00:00,0.37213016
2024-09-07 17:00:00,0.19758782
2024-09-07 18:00:00,0.07750019
2024-09-07 19:00:00,0.20832789
2024-09-07 20:00:00,0.5541131
2024-09-07 21:00:00,0.9401439
2024-09-07 22:00:00,1.3724769
2024-09-07 23:00:00,1.5844052
2024-09-08 00:00:00,1.5879529
2024-09-08 01:00:00,1.4100276
2024-09-08 02:00:00,1.1398082
2024-09-08 03:00:00,0.8783912
2024-09-08 04:00:00,0.67250806
2024-09-08 05:00:00,0.48074594
2024-09-08 06:00:00,0.32600325
2024-09-08 07:00:00,0.29407343
2024-09-08 08:00:00,0.60443634
2024-09-08 09:00:00,0.92849094
2024-09-08 10:00:00,1.3498663
2024-09-08 11:00:00,1.6163989
2024-09-08 12:00:00,1.6324494
2024-09-08 13:00:00,1.4876316
2024-09-08 14:00:00,1.2646363
2024-09-08 15:00:00,1.0326453
2024-09-08 16:00:00,0.8321307
2024-09-08 17:00:00,0.638957
2024-09-08 18:00:00,0.4675034
2024-09-08 19:00:00,0.39682442
2024-09-08 20:00:00,0.65593874
2024-09-08 21:00:00,1.013441
2024-09-08 22:00:00,1.4439735
2024-09-08 23:00:00,1.764263
2024-09-09 00:00:00,1.8523194
2024-09-09 01:00:00,1.7634925
2024-09-09 02:00:00,1.55324
2024-09-09 03:00:00,1.2988163
2024-09-09 04:00:00,1.0765282
2024-09-09 05:00:00,0.8687069
2024-09-09 06:00:00,0.6719138
2024-09-09 07:00:00,0.53150874
2024-09-09 08:00:00,0.56920934
2024-09-09 09:00:00,0.8590009
2024-09-09 10:00:00,1.2124381
2024-09-09 11:00:00,1.5471057
2024-09-09 12:00:00,1.6498528
2024-09-09 13:00:00,1.5682259
2024-09-09 14:00:00,1.3925662
2024-09-09 15:00:00,1.1986417
2024-09-09 16:00:00,0.9983425
2024-09-09 17:00:00,0.8027565
2024-09-09 18:00:00,0.6173792
2024-09-09 19:00:00,0.4850723
2024-09-09 20:00:00,0.50223273
2024-09-09 21:00:00,0.7617555
2024-09-09 22:00:00,1.1222416
2024-09-09 23:00:00,1.5099121
2024-09-10 00:00:00,1.7065629
2024-09-10 01:00:00,1.7282177
2024-09-10 02:00:00,1.5940194
2024-09-10 03:00:00,1.4045984
2024-09-10 04:00:00,1.1856619
2024-09-10 05:00:00,0.9806367
2024-09-10 06:00:00,0.78084344
2024-09-10 07:00:00,0.6017314
2024-09-10 08:00:00,0.50165284
2024-09-10 09:00:00,0.5925253
2024-09-10 10:00:00,0.8577176
2024-09-10 11:00:00,1.1651866
2024-09-10 12:00:00,1.3952843
2024-09-10 13:00:00,1.4242431
2024-09-10 14:00:00,1.33106
2024-09-10 15:00:00,1.1905322
2024-09-10 16:00:00,1.0267509
2024-09-10 17:00:00,0.846087
2024-09-10 18:00:00,0.66977465
2024-09-10 19:00:00,0.51341057
2024-09-10 20:00:00,0.42596748
2024-09-10 21:00:00,0.4878731
2024-09-10 22:00:00,0.74291277
2024-09-10 23:00:00,1.0892676
2024-09-11 00:00:00,1.4138857
2024-09-11 01:00:00,1.5702373
2024-09-11 02:00:00,1.5802686
2024-09-11 03:00:00,1.4755951
2024-09-11 04:00:00,1.3152044
2024-09-11 05:00:00,1.123063
2024-09-11 06:00:00,0.93728644
2024-09-11 07:00:00,0.7581529
2024-09-11 08:00:00,0.6055775
2024-09-11 09:00:00,0.5218982
2024-09-11 10:00:00,0.5568983
2024-09-11 11:00:00,0.7418053
2024-09-11 12:00:00,1.0053853
2024-09-11 13:00:00,1.200763
2024-09-11 14:00:00,1.2374964
2024-09-11 15:00:00,1.1560585
2024-09-11 16:00:00,1.0270015
2024-09-11 17:00:00,0.88679886
2024-09-11 18:00:00,0.7360995
2024-09-11 19:00:00,0.58726376
2024-09-11 20:00:00,0.45622203
2024-09-11 21:00:00,0.3876717
2024-09-11 22:00:00,0.444135
2024-09-11 23:00:00,0.6726526
2024-09-12 00:00:00,0.97509784
2024-09-12 01:00:00,1.2706406
2024-09-12 02:00:00,1.4553444
2024-09-12 03:00:00,1.5228486
2024-09-12 04:00:00,1.481663
2024-09-12 05:00:00,1.3578658
2024-09-12 06:00:00,1.1771024
2024-09-12 07:00:00,0.99787176
2024-09-12 08:00:00,0.8203847
2024-09-12 09:00:00,0.6506629
2024-09-12 10:00:00,0.5127594
2024-09-12 11:00:00,0.4385029
2024-09-12 12:00:00,0.479879
2024-09-12 13:00:00,0.6541379
2024-09-12 14:00:00,0.881805
2024-09-12 15:00:00,1.0095627
2024-09-12 16:00:00,1.0335135
2024-09-12 17:00:00,0.96823126
2024-09-12 18:00:00,0.87933904
2024-09-12 19:00:00,0.7566649
2024-09-12 20:00:00,0.6141316
2024-09-12 21:00:00,0.47512978
2024-09-12 22:00:00,0.3587542
2024-09-12 23:00:00,0.31527615
2024-09-13 00:00:00,0.40012398
2024-09-13 01:00:00,0.64674383
2024-09-13 02:00:00,0.962246
2024-09-13 03:00:00,1.2337604
2024-09-13 04:00:00,1.3933133
2024-09-13 05:00:00,1.4180676
2024-09-13 06:00:00,1.3413628
2024-09-13 07:00:00,1.2036642
2024-09-13 08:00:00,1.0217708
2024-09-13 09:00:00,0.8373095
2024-09-13 10:00:00,0.6549316
2024-09-13 11:00:00,0.48481703
2024-09-13 12:00:00,0.357237
